"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","Chi0n","Chi1n","Chi2n","Chi3n","Chi4n","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","CalculatedAbsorbance"
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\c1cc[n+](CC)c2ccccc12","NNPJVUBHKCZPII-UHFFFAOYSA-N",3,0,1,0.14814814814814814,17.123595329596654,10.323764588757188,7.046201152875225,5.353305995996731,3.884100172255183,2,2,5,379.52700000000016,15,1332.210672614925,18.259428262253095,15,6,776
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1","OKFVOTSYAZGOPA-UHFFFAOYSA-N",3,0,2,0.14814814814814814,17.531843620060517,10.492078985962388,7.009140693202765,5.192172026470708,3.764509749845175,3,2,6,411.59400000000016,15,1422.086023684689,20.768833966477292,17,8,615
"CCN1c2ccccc2C=C/C1=C/C=C/c1cc[n+](CC)c2ccccc12","ONKAXOHRKIYFDJ-UHFFFAOYSA-N",3,0,1,0.16,15.968894791217403,9.65709792209052,6.661300973415474,5.13108377377451,3.756951553666582,2,2,4,353.48900000000015,14,272.2664440657181,14.68712011584578,13,4,664
"CCN1c2ccccc2C=C/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2s1","ICQLMXQDTPECJU-UHFFFAOYSA-N",3,0,2,0.16,16.377143081681265,9.825412319295722,6.624240513743013,4.969949804248486,3.636209690025258,3,2,5,385.55600000000015,14,935.3433718876765,17.638147291301536,15,6,627
"CCN1c2ccccc2C=C/C1=C\C=C\c1[n+](CC)c2ccccc2s1","XTSHHMSLNDHACR-UHFFFAOYSA-N",3,0,2,0.17391304347826086,15.222442543302014,9.158745652629054,6.239340334283263,4.747727582026265,3.5090610714366575,3,2,4,359.51800000000003,13,525.5979632471148,16.413733952191105,13,4,540
"CCN1c2ccccc2C=C/C1=C\C=C\c1cc[n+](CC)c2ccccc12","ONKAXOHRKIYFDJ-UHFFFAOYSA-N",3,0,1,0.16,15.968894791217403,9.65709792209052,6.661300973415474,5.13108377377451,3.756951553666582,2,2,4,353.48900000000015,14,493.36165655286806,16.852443010932546,13,4,664
"CCN1c2ccccc2C=C/C1=C\C=C/c1[n+](CC)c2ccccc2cc1","HQCBCYUEDZNVBO-UHFFFAOYSA-N",3,0,1,0.16,15.968894791217403,9.661180964688151,6.6483305145759415,5.11217904162146,3.799167550629329,2,2,4,353.48900000000003,14,224.11837965319884,14.673732529392591,14,4,634
"CCN1c2ccccc2C=C/C1=C\C=C/C=C/c1[n+](CC)c2ccccc2cc1","HUKKJPBJMKANKC-UHFFFAOYSA-N",3,0,1,0.14814814814814814,17.123595329596654,10.32784763135482,7.033230694035693,5.334401263843682,3.92631616921793,2,2,5,379.52700000000016,15,703.6177305643417,17.541683090479562,16,6,655
"CCN1c2ccccc2C=C/C1=C\C=C/C=C/C=C/c1[n+](CC)c2ccccc2o1","CKDJYLWILGWPSZ-UHFFFAOYSA-N",3,0,2,0.14814814814814814,17.531843620060517,10.492078985962388,7.009140693202765,5.192172026470708,3.764509749845175,3,2,6,395.5260000000002,15,769.0398072501789,19.459379953866453,17,8,749
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\c1cc[n+](CC)c2ccccc12","OWYFZVWJTBJIIS-UHFFFAOYSA-N",3,0,1,0.13793103448275862,18.278295867975906,10.990431255423854,7.431101332334977,5.575528218218953,4.0124002320751,2,2,6,405.56500000000017,16,2290.3744581973256,21.238611789107434,17,8,711
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1","NDBQBHOHIWDEGK-UHFFFAOYSA-N",3,0,2,0.13793103448275862,18.68654415843977,11.158745652629054,7.394040872662515,5.414394248692929,3.8928098096650925,3,2,7,437.6320000000002,16,4405.333836461978,23.547729703506945,19,10,880
"CCN1c2ccccc2C=C/C1=C\C=C/C=C/c1cc[n+](CC)c2ccccc12","NNPJVUBHKCZPII-UHFFFAOYSA-N",3,0,1,0.14814814814814814,17.123595329596654,10.323764588757188,7.046201152875225,5.353305995996731,3.884100172255183,2,2,5,379.52700000000016,15,433.6545883230274,17.57606615203323,15,6,586
"CCN1c2ccccc2C=C/C1=C\C=C/C=C/C=C/c1[n+](CC)c2ccccc2s1","OKFVOTSYAZGOPA-UHFFFAOYSA-N",3,0,2,0.14814814814814814,17.531843620060517,10.492078985962388,7.009140693202765,5.192172026470708,3.764509749845175,3,2,6,411.59400000000016,15,308.64217889083824,17.53088737320503,17,8,787
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2s1","ICQLMXQDTPECJU-UHFFFAOYSA-N",3,0,2,0.16,16.377143081681265,9.825412319295722,6.624240513743013,4.969949804248486,3.636209690025258,3,2,5,385.55600000000015,14,759.8374883073589,18.441387507938625,15,6,618
